                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.39611,                0.38261,                0.83019,                0.86539,                0.90125,                0.93657,                0.88063,                0.37059,                0.46317,                0.82338,              0.0006438,              0.0006438,              0.0006438
                     65,                0.40967,                0.37521,                 0.8405,                0.87467,                0.91415,                0.93472,                 0.8791,                0.36024,                0.45615,                0.81774,             0.00062729,             0.00062729,             0.00062729
                     66,                0.42383,                0.36806,                0.84917,                0.88216,                 0.9201,                 0.9533,                 0.9013,                0.35599,                0.42199,                0.82616,             0.00061079,             0.00061079,             0.00061079
                     67,                0.39279,                 0.3456,                0.83474,                0.91329,                0.87877,                0.94947,                0.89923,                0.35693,                 0.4274,                 0.8217,             0.00059429,             0.00059429,             0.00059429
                     68,                0.39414,                0.35312,                0.83637,                0.87732,                0.88897,                0.94506,                0.89172,                0.36037,                0.43366,                0.82555,             0.00057778,             0.00057778,             0.00057778
                     69,                0.39537,                0.35697,                0.83845,                 0.8954,                0.89846,                0.94772,                0.89636,                 0.3476,                0.42808,                0.82662,             0.00056128,             0.00056128,             0.00056128
                     70,                0.39087,                0.34811,                0.83692,                0.89339,                0.86863,                 0.9451,                0.89361,                0.35357,                0.42679,                0.82785,             0.00054478,             0.00054478,             0.00054478
                     71,                0.38654,                0.32723,                0.83522,                0.89207,                0.91316,                0.95424,                0.90445,                0.35054,                0.42564,                0.83509,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.3836,                0.33822,                0.83143,                  0.888,                0.89966,                0.93793,                0.88607,                0.36655,                0.44566,                0.83196,             0.00051177,             0.00051177,             0.00051177
                     73,                0.38192,                0.33433,                0.83014,                0.90019,                0.86784,                0.91571,                0.86766,                0.35591,                0.47707,                0.83108,             0.00049527,             0.00049527,             0.00049527
                     74,                0.38051,                0.33008,                0.83023,                0.88691,                0.90274,                0.94301,                0.89286,                0.36204,                 0.4451,                0.82394,             0.00047876,             0.00047876,             0.00047876
                     75,                0.39896,                0.36453,                0.84342,                0.89969,                0.88952,                0.94051,                0.89015,                 0.3566,                0.46187,                0.83604,             0.00046226,             0.00046226,             0.00046226
                     76,                0.38948,                 0.3461,                0.83628,                0.86045,                0.88877,                0.92233,                 0.8768,                0.34693,                0.47146,                0.82339,             0.00044576,             0.00044576,             0.00044576
                     77,                0.36577,                0.33316,                0.83469,                0.88821,                0.89599,                0.94966,                0.90201,                0.35331,                 0.4452,                0.83106,             0.00042925,             0.00042925,             0.00042925
                     78,                0.38252,                0.33584,                0.83108,                0.90562,                0.89882,                0.94814,                0.89688,                0.35249,                0.41127,                0.83502,             0.00041275,             0.00041275,             0.00041275
                     79,                0.37609,                0.33256,                0.82561,                0.93297,                0.87541,                 0.9423,                 0.8919,                0.34952,                0.41737,                0.82206,             0.00039625,             0.00039625,             0.00039625
                     80,                0.37328,                0.31757,                0.83262,                0.89464,                0.89203,                 0.9332,                0.88673,                0.34807,                0.44475,                 0.8243,             0.00037974,             0.00037974,             0.00037974
                     81,                0.38519,                0.32682,                0.83634,                0.89522,                0.91199,                0.94975,                0.90056,                0.34709,                0.44278,                0.81885,             0.00036324,             0.00036324,             0.00036324
                     82,                0.37689,                0.30612,                0.83703,                0.91389,                0.90644,                0.94922,                0.90297,                 0.3422,                0.42896,                 0.8208,             0.00034674,             0.00034674,             0.00034674
                     83,                0.37329,                0.31652,                0.83446,                0.88372,                0.92169,                 0.9448,                0.89968,                0.33501,                0.45337,                0.81426,             0.00033023,             0.00033023,             0.00033023
                     84,                0.36688,                0.31497,                0.82008,                 0.9202,                 0.8817,                0.94934,                0.90128,                0.33697,                0.43095,                0.82004,             0.00031373,             0.00031373,             0.00031373
                     85,                0.37419,                0.30884,                 0.8323,                0.89586,                0.89773,                0.93506,                 0.8899,                0.34906,                0.44146,                0.84148,             0.00029723,             0.00029723,             0.00029723
                     86,                0.38543,                0.32261,                0.83285,                0.90721,                0.89081,                0.94276,                0.89596,                0.34292,                0.44774,                0.83256,             0.00028072,             0.00028072,             0.00028072
                     87,                0.36939,                0.30474,                0.83984,                0.89835,                 0.8947,                0.93543,                0.89084,                 0.3376,                0.43091,                0.83251,             0.00026422,             0.00026422,             0.00026422
                     88,                0.36814,                0.29823,                0.82954,                0.90381,                0.90159,                0.94081,                0.88943,                0.34269,                0.42283,                0.82829,             0.00024772,             0.00024772,             0.00024772
